material_id,band_gap,density,formation_energy
mp-1176774,0.6119,3.906255299461753,-2.201304890476191
mp-1185486,0.0,3.872781925036459,-3.205845379642856
mp-1222722,0.0,3.718999781983468,-1.828990393333331
mp-1278550,0.0,4.63710827671712,-2.284585810416667
mp-1284451,0.0,4.640443636507977,-2.047293109640804
mp-1290247,1.1774,4.410298022222746,-1.2896140621794872
mp-1238817,0.0,3.267057284131076,-1.093155952619045
mp-1306886,1.1016,4.680036285930644,-1.258462088333333
mp-552024,0.0,4.716441747804539,-1.474907089047619
mp-675334,0.0,4.080888444935629,-3.102839674285714
mp-753209,0.0,4.222805296859777,-1.8124900311111212
mp-753338,2.1976,2.8587897780938043,-3.149344260555556
mp-754922,0.44820000000000004,3.778723034282531,-2.426658240476191
mp-773525,0.831199999999999,5.018470869016614,-1.6720515504166662
mp-996989,0.0,4.7525148494099945,-0.805429973749999
mp-1222351,1.2569,3.288469874149039,-2.182294252916662
mp-753573,3.117,2.7458902949851023,-2.9439643297916662
mp-557403,1.7058,3.62660024826429,-2.753536442592592
mp-1008925,0.032799999999999004,4.626887363721237,-0.337677555992063
mp-1008927,0.0,6.262964108704464,-0.14207254694444402
mp-1218743,0.0,3.059087793614269,-0.37222491302083305
mp-1276591,0.0,4.661293391788368,-2.243178178541667
mp-20747,0.0,4.141930275457595,0.066143833333333
mp-1222354,2.0165,5.860685961786983,-2.060948398749999
mp-29324,0.0,6.013829276869497,-1.18387854122807
mp-755244,2.2094,3.483950705989338,-3.224894457222221
mp-1018783,0.0,1.408695007411956,-0.12269270416666701
mp-1079276,0.48959999999999904,4.570589997070769,-0.63004333432292
mp-1298536,1.5557999999999992,4.630080918116578,-1.763118891388888
mp-1407206,5.483,0.8591874231450201,-0.40169442791666704
mp-2206511,1.091899999999999,3.812756534770946,-0.8373178748263891
mp-2468815,0.0,3.615557362948957,-0.9404273420833321
mp-27503,1.7930000000000001,3.5559253978868153,-2.343562962777778
mp-28327,2.9955,3.832457538276029,-1.419440549666665
mp-29345,2.2732,4.33230623565728,-1.006771274666666
mp-569238,3.9867,3.691404947893112,-1.634236638412356
mp-752942,0.0,3.3857005155880833,-3.156494141428571
mp-752742,0.0,4.451830633586668,-2.014070816666667
mp-752619,2.4089,3.194216146231122,-2.985744669666666
mp-755179,3.2084,3.2357097008499,-2.719494569666666
mp-752548,0.9051,3.493178971454206,-2.4515733840476193
mp-752928,0.0,3.601256340843029,-0.9240818958333331
mp-752734,0.062699999999999,4.938453623345291,-1.7444219463095232
mp-765339,0.0,3.856083380010998,-1.783383312777787
mp-767268,0.0,3.40028372881416,-2.308598890885416
mp-777447,3.4987,2.875961909811259,-2.649717116333333
mp-773031,0.0,3.375150472654346,-2.303022785416666
mp-780639,3.2880000000000003,3.388363329681764,-2.788585956666666
mp-977334,0.0,3.8507257245797053,-3.21396320142857
mp-1098011,1.0552,0.94307293251918,-1.956533338819444
mp-1200259,0.8109000000000001,1.202891920467038,-2.089748286527777
mp-1079418,0.0,1.274875313254946,-0.5582496989583331
mp-753881,0.0,4.514338215363884,-1.646569212129632
mp-1222348,0.0,6.65564834576387,-0.524899336666666
